Season,Natural Key,Name,Nation,Positions,Squad_ID,Squad,Born
2017,e162b013,Thomas Meunier,be BEL,DF,e2d8892c,fr Paris S-G,1991
2017,4d425e6e,Míchel,es ESP,MF,44b65410,az Qarabağ,1985
2017,b2484b77,Georgi Milanov,bg BUL,MF,f0c0c2c2,ru CSKA Moscow,1992
2017,7a69c649,Martin Milec,si SVN,DF,2aae7689,si NK Maribor,1991
2017,85613cf0,Arkadiusz Milik,pl POL,FW,d48ad4ff,it Napoli,1994
2017,2f90f6b8,James Milner,eng ENG,MF,822bd0ba,eng Liverpool,1986
2017,a8741470,Matej Mitrović,hr CRO,DF,0f9294bd,tr Beşiktaş,1993
2017,dd0daf32,Henrikh Mkhitaryan,am ARM,MF,19538871,eng Manchester Utd,1989
2017,6025fab1,Luka Modrić,hr CRO,MF,53a2f082,es Real Madrid,1985
2017,b6170459,Nuno Morais,pt POR,"MF,DF",eab315a6,cy APOEL FC,1984
2017,129af0db,Álvaro Morata,es ESP,FW,cff3d9bb,eng Chelsea,1992
2017,11b9265b,Alberto Moreno,es ESP,DF,822bd0ba,eng Liverpool,1992
2017,e726e11e,Victor Moses,ng NGA,DF,cff3d9bb,eng Chelsea,1990
2017,57ef0d97,Thiago Motta,it ITA,MF,e2d8892c,fr Paris S-G,1982
2017,2b622f01,Lucas Moura,br BRA,FW,361ca564,eng Tottenham,1992
2017,f5a00fa4,João Moutinho,pt POR,MF,fd6114db,fr Monaco,1986
2017,3c6089ab,Thomas Müller,de GER,"MF,FW",054efa67,de Bayern Munich,1989
2017,eb2fe5b6,Luis Muriel,co COL,FW,ad2be733,es Sevilla,1991
2017,e50623a0,Kévin N'Doram,fr FRA,MF,fd6114db,fr Monaco,1996
2017,76c131da,Georges-Kévin N'Koudou,cm CMR,"MF,FW",361ca564,eng Tottenham,1995
2017,79019bf4,Kirill Nababkin,ru RUS,MF,f0c0c2c2,ru CSKA Moscow,1986
2017,d4aa40b8,Ben Nabouhane,km COM,FW,2fdb4aef,gr Olympiacos,1989
2017,2946f9a1,Nacho,es ESP,DF,53a2f082,es Real Madrid,1990
2017,1f9328da,Radja Nainggolan,be BEL,MF,cf74a709,it Roma,1988
2017,f8280175,Andy Najar,hn HON,DF,08ad393c,be Anderlecht,1993
2017,c44a1d58,Bibras Natkho,il ISR,MF,f0c0c2c2,ru CSKA Moscow,1988
2017,3f10bd22,Jesús Navas,es ESP,"DF,FW",ad2be733,es Sevilla,1985
2017,ecada4fc,Keylor Navas,cr CRC,GK,53a2f082,es Real Madrid,1986
2017,3f0cc58f,Dino Ndlovu,za RSA,FW,44b65410,az Qarabağ,1990
2017,63b0ca6b,Álvaro Negredo,es ESP,FW,0f9294bd,tr Beşiktaş,1985
